DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-09 14:15:00,15,29,14:15-14:30,6012.70,5134.40,3917.84,3917.84,5499.03,May%202023.xlsx,14:15
2023-05-09 17:45:00,18,36,17:45-18:00,6013.70,4867.90,3830.61,3830.61,6000.56,May%202023.xlsx,17:45
2023-05-29 01:45:00,2,4,01:45-02:00,6014.20,5010.10,3330.10,3330.1,4502.97,May%202023.xlsx,01:45
2023-05-20 16:15:00,17,33,16:15-16:30,6015.20,5424.90,3529.01,3529.01,5779.23,May%202023.xlsx,16:15
2023-05-22 18:45:00,19,38,18:45-19:00,6019.20,9266.90,4055.70,4295.5,5000.96,May%202023.xlsx,18:45
2023-05-18 06:00:00,7,13,06:00-06:15,6019.80,7142.70,5361.00,5361.0,3200.08,May%202023.xlsx,06:00
2023-05-25 23:15:00,24,47,23:15-23:30,6022.90,4601.20,3725.00,3725.0,5600.73,May%202023.xlsx,23:15
2023-05-22 15:15:00,16,31,15:15-15:30,6023.00,6044.60,2955.91,2955.91,5999.77,May%202023.xlsx,15:15
2023-05-28 05:15:00,6,11,05:15-05:30,6024.20,5717.60,3733.10,3733.1,5000.85,May%202023.xlsx,05:15
2023-05-29 13:45:00,14,28,13:45-14:00,6027.20,6436.60,3872.60,3872.6,5600.14,May%202023.xlsx,13:45
2023-05-23 07:00:00,8,15,07:00-07:15,6027.90,7521.20,4378.20,4378.2,5999.74,May%202023.xlsx,07:00
2023-05-17 05:45:00,6,12,05:45-06:00,6033.40,4047.30,3409.50,3409.5,7499.08,May%202023.xlsx,05:45
2023-05-20 01:15:00,2,3,01:15-01:30,6037.00,3834.90,3491.20,3491.2,8000.49,May%202023.xlsx,01:15
2023-05-28 21:00:00,22,43,21:00-21:15,6038.20,5376.10,3913.20,3913.2,6499.02,May%202023.xlsx,21:00
2023-05-29 11:15:00,12,23,11:15-11:30,6040.30,7063.10,3720.17,3720.17,4151.49,May%202023.xlsx,11:15
2023-05-23 06:15:00,7,13,06:15-06:30,6050.80,5713.70,4264.60,4264.6,9999.0,May%202023.xlsx,06:15
2023-05-17 10:45:00,11,22,10:45-11:00,6052.70,5692.00,3683.35,3683.35,4680.46,May%202023.xlsx,10:45
2023-05-02 21:15:00,22,43,21:15-21:30,6057.40,4967.10,3994.90,3994.9,5170.62,May%202023.xlsx,21:15
2023-05-21 05:15:00,6,11,05:15-05:30,6059.90,3954.40,2828.42,2828.42,6006.03,May%202023.xlsx,05:15
2023-05-15 19:30:00,20,40,19:30-19:45,6063.30,5169.00,4027.90,4027.9,4900.88,May%202023.xlsx,19:30
2023-05-12 20:30:00,21,42,20:30-20:45,6065.90,4033.10,3765.70,3765.7,9999.21,May%202023.xlsx,20:30
2023-05-22 20:30:00,21,42,20:30-20:45,6069.40,4502.70,3801.70,3801.71,9999.56,May%202023.xlsx,20:30
2023-05-23 19:15:00,20,39,19:15-19:30,6071.10,5880.70,3071.50,3070.79,5000.19,May%202023.xlsx,19:15
